sample_id,count_column_name,fastq_prefix,dtag_conc_nM,nominal_dosage_pct,mng_measured_pct,mng_summary_stat,mng_autofluor_corrected,fcs_file,flow_reference_sample,replicate,differentiation_batch,differentiation_date,treatment_date,harvest_date,passage_number,cells_harvested,rna_yield_ng,rin,spike_in_added,spike_in_amount,library_prep_batch,library_prep_kit,sequencing_run,lane,notes
EXAMPLE_DELETE_THIS_ROW,B2_DMSO_r1,B2_DMSO_r1_S1,0.0,100.0,100.0,median,yes,B2_DMSO_r1.fcs,B2_DMSO_r1,1,diff_A,2026-05-12,2026-05-26,2026-05-28,8.0,1200000.0,850.0,9.4,no,,prep_1,polyA,NS500_run17,1.0,reference sample for both flow and expression
B2_CTRL_r1,B2_CTRL_r1,NS.X0338.004.UDP0273_i7,0.0,1.0,1.0,Median,1,B2_0nM_rep1.fcs,WT_0nM_rep1.fcs,1,,,2026-06-24,2026-06-26,P7,,34746.54,,,,1,polyA,,,
B2_CTRL_r2,B2_CTRL_r2,NS.X0338.004.UDP0278_i7,0.0,1.0,1.0,Median,1,B2_0nM_rep2.fcs,WT_0nM_rep2.fcs,2,,,2026-07-01,2026-07-03,P8,,26375.52,,,,1,polyA,,,
B2_CTRL_r3,B2_CTRL_r3,NS.X0338.004.UDP0283_i7,0.0,1.0,1.0,Median,1,B2_0nM_rep3.fcs,WT_0nM_rep3.fcs,3,,,2026-07-01,2026-07-03,P8,,25378.98,,,,1,polyA,,,
B2_0p5nM_r1,B2_0p5nM_r1,NS.X0338.004.UDP0274_i7,0.5,0.75,0.7211394,Median,1,B2_0.5nM_rep1.fcs,WT_0nM_rep1.fcs,1,,,2026-06-24,2026-06-26,P7,,34013.520000000004,,,,1,polyA,,,
B2_0p5nM_r2,B2_0p5nM_r2,NS.X0338.004.UDP0279_i7,0.5,0.75,0.8112676,Median,1,B2_0.5nM_rep2.fcs,WT_0nM_rep2.fcs,2,,,2026-07-01,2026-07-03,P8,,24633.120000000003,,,,1,polyA,,,
B2_0p5nM_r3,B2_0p5nM_r3,NS.X0338.004.UDP0284_i7,0.5,0.75,0.823109,Median,1,B2_0.5nM_rep3.fcs,WT_0nM_rep3.fcs,3,,,2026-07-01,2026-07-03,P8,,27232.26,,,,1,polyA,,,
B2_1nM_r1,B2_1nM_r1,NS.X0338.004.UDP0275_i7,1.0,0.5,0.4957746,Median,1,B2_1nM_rep1.fcs,WT_0nM_rep1.fcs,1,,,2026-07-01,2026-07-03,P8,,26536.8,,,,1,polyA,,,
B2_1nM_r2,B2_1nM_r2,NS.X0338.004.UDP0280_i7,1.0,0.5,,Median,1,B2_1nM_rep2.fcs,WT_0nM_rep2.fcs,2,,,2026-07-01,2026-07-03,P8,,27551.940000000002,,,,1,polyA,,,
B2_1nM_r3,B2_1nM_r3,NS.X0338.004.UDP0285_i7,1.0,0.5,0.4793153,Median,1,B2_1nM_rep3.fcs,WT_0nM_rep3.fcs,3,,,2026-07-01,2026-07-03,P8,,27712.62,,,,1,polyA,,,
B2_5nM_r1,B2_5nM_r1,NS.X0338.004.UDP0276_i7,5.0,0.25,0.2053973,Median,1,B2_5nM_rep1.fcs,WT_0nM_rep1.fcs,1,,,2026-06-24,2026-06-26,P7,,34607.399999999994,,,,1,polyA,,,
B2_5nM_r2,B2_5nM_r2,NS.X0338.004.UDP0281_i7,5.0,0.25,0.156338,Median,1,B2_5nM_rep2.fcs,WT_0nM_rep2.fcs,2,,,2026-07-01,2026-07-03,P8,,27980.04,,,,1,polyA,,,
B2_5nM_r3,B2_5nM_r3,NS.X0338.004.UDP0286_i7,5.0,0.25,0.1540656,Median,1,B2_5nM_rep3.fcs,WT_0nM_rep3.fcs,3,,,2026-07-01,2026-07-03,P8,,27816.18,,,,1,polyA,,,
B2_50nM_r1,B2_50nM_r1,NS.X0338.004.UDP0277_i7,50.0,0.0,0.0314843,Median,1,B2_50nM_rep1.fcs,WT_0nM_rep1.fcs,1,,,2026-06-24,2026-06-26,P7,,32944.92,,,,1,polyA,,,
B2_50nM_r2,B2_50nM_r2,NS.X0338.004.UDP0282_i7,50.0,0.0,0.0380282,Median,1,B2_50nM_rep2.fcs,WT_0nM_rep2.fcs,2,,,2026-07-01,2026-07-03,P8,,26312.34,,,,1,polyA,,,
,B2_50nM_r3,,50.0,,,,,,,3,,,,,,,,,,,,,,,
B2_50nM_r3,B2_50nM_r3,NS.X0338.004.UDP0287_i7,50.0,0.0,0.0299572,Median,1,B2_50nM_rep3.fcs,WT_0nM_rep3.fcs,3,,,2026-07-01,2026-07-03,P8,,27236.7,,,,1,polyA,,,
